@relation class_relation-weka.filters.unsupervised.attribute.Remove-R14-15

@attribute tagName {BODY,DIV,TD,FONT,H1,H2,H3,H4,H5,LI,SPAN,UL,P,EM}
@attribute wordCount_AE numeric
@attribute densityinHTML_AE numeric
@attribute LinkCount_AE numeric
@attribute wordCountinLink_AE numeric
@attribute meanofWordinLinks_AE numeric
@attribute meanofWordinLinksAllWords_AE numeric
@attribute wordCount numeric
@attribute DensityinHTML numeric
@attribute LinkCount numeric
@attribute wordCountinLink numeric
@attribute meanofWordinLinks numeric
@attribute meanofWordinLinksAllWords numeric
@attribute tag_idORclass numeric
@attribute class {IRRELEVANT,MAIN,HEADLINE,INFORMATIONABOUTARTICLE}

@data
UL,18,0.020431,12,19,1.583333,1.055556,18,0.020431,12,19,1.583333,1.055556,0,IRRELEVANT
DIV,2,0.00227,0,0,0,0,14,0.015891,11,14,1.272727,1,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,6,0.00681,3,7,2.333333,1.166667,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,21,0.023837,10,22,2.2,1.047619,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,4,0.00454,3,5,1.666667,1.25,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,14,0.015891,8,14,1.75,1,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,8,0.009081,3,9,3,1.125,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,4,0.00454,2,5,2.5,1.25,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,7,0.007946,4,8,2,1.142857,1,IRRELEVANT
DIV,2,0.00227,0,0,0,0,3,0.003405,3,9,3,3,1,IRRELEVANT
TD,2,0.00227,0,0,0,0,93,0.105562,16,88,5.5,0.946237,0,IRRELEVANT
TD,2,0.00227,0,0,0,0,91,0.103292,16,88,5.5,0.967033,0,IRRELEVANT
DIV,6,0.00681,2,5,2.5,0.833333,91,0.103292,16,88,5.5,0.967033,0,IRRELEVANT
TD,2,0.00227,0,0,0,0,2,0.00227,0,0,0,0,0,IRRELEVANT
DIV,2,0.00227,7,12,1.714286,6,2,0.00227,7,12,1.714286,6,0,IRRELEVANT
DIV,2,0.00227,6,4,0.666667,2,2,0.00227,6,4,0.666667,2,0,IRRELEVANT
DIV,497,0.564132,0,0,0,0,497,0.564132,0,0,0,0,0,MAIN
